num,t,area_osc,Peak.us,FT.1,FT.3,FT.5,FT.7,FT.9,Tag.Mpa,sid,fname
32,21.5,192.9133868,26.47202197,0.000544836,0.001800754,0.000930709,0.000942328,0.000347227,11.78,4,020521-box 3 fulia_pair 6.csv
33,34,257.0299785,25.13067367,0.000619453,0.002117198,0.000835533,0.001756251,0.000916426,22.79,4,020521-box 3 fulia_pair 6.csv
34,46,261.5840997,24.63377459,0.000631577,0.001999902,0.00092505,0.00189727,0.001165183,26.64,4,020521-box 3 fulia_pair 6.csv
35,84,304.7011389,24.02570064,0.000672277,0.001868289,0.001219837,0.002038422,0.00134137,34.63,4,020521-box 3 fulia_pair 6.csv
36,161,319.2541534,23.63405305,0.000668814,0.002025118,0.001519207,0.0020713,0.001347111,40.31,4,020521-box 3 fulia_pair 6.csv
37,350,326.6569333,23.3858527,0.000706855,0.002006318,0.001469296,0.002152398,0.001297091,42.7,4,020521-box 3 fulia_pair 6.csv
38,693,377.1372933,23.21979978,0.000738836,0.001914203,0.001708736,0.002888165,0.001677873,47.14,4,020521-box 3 fulia_pair 6.csv
39,24,352.6449337,31.34913364,0.000569974,0.003171208,0.002278252,0.001149408,0.000295552,15.045,5,070221-box3_Pair 5 B.csv
40,30,398.5427358,30.1788371,0.000540332,0.003626111,0.001979301,0.001378776,0.000450454,19.89,5,070221-box3_Pair 5 B.csv
41,42,448.4199928,29.12960004,0.000571748,0.004135563,0.002162099,0.001782452,0.000653102,23.93,5,070221-box3_Pair 5 B.csv
42,50,462.0511388,28.83157362,0.000590323,0.004251951,0.002039294,0.001986393,0.00080775,25.755,5,070221-box3_Pair 5 B.csv
43,66,499.0811855,28.39968937,0.000586019,0.004517333,0.002217588,0.002184222,0.001048655,30.09,5,070221-box3_Pair 5 B.csv
44,120,552.1320091,27.73176919,0.000607022,0.004766364,0.002216588,0.002565136,0.000991389,33.965,5,070221-box3_Pair 5 B.csv
45,168,558.9094469,27.55659375,0.00061773,0.004656506,0.002142294,0.002640053,0.001135022,36.31333333,5,070221-box3_Pair 5 B.csv
46,240,585.5321774,27.39016372,0.000577016,0.004716193,0.002132486,0.002634236,0.001134258,38.995,5,070221-box3_Pair 5 B.csv
47,336,599.5693708,27.29167697,0.000526721,0.005169788,0.002511898,0.002465127,0.001136503,41.045,5,070221-box3_Pair 5 B.csv
48,552,612.8034451,27.1363811,0.000545874,0.005030131,0.002162286,0.003036043,0.001343797,39.795,5,070221-box3_Pair 5 B.csv
49,34,336.6721616,25.04200591,0.000327886,0.002585517,0.00133385,0.001476802,0.001890405,28.81,6,010421-box1_1.csv
50,81,359.7375523,24.10293762,0.000350034,0.002217238,0.001430073,0.002528483,0.001415624,39.015,6,010421-box1_1.csv
51,124,382.1740222,23.91132994,0.000315688,0.002279581,0.001548647,0.002580406,0.001662579,44.49,6,010421-box1_1.csv
52,240,374.5315244,23.58018304,0.000307882,0.002275901,0.001520416,0.00255252,0.001795165,48.9,6,010421-box1_1.csv
53,336,403.8435838,23.52836685,0.000345196,0.002248437,0.00161693,0.00293888,0.001783004,47.8,6,010421-box1_1.csv
54,672,468.078656,23.30617302,0.000305053,0.001915821,0.001571215,0.003483508,0.001497013,54.05,6,010421-box1_1.csv
55,22,235.6872284,29.83172272,0.000631792,0.002254511,0.0016833,0.000905604,0.00036932,11.615,7,240421-Box 6_pair12.csv
56,36,402.9626039,27.60651452,0.000674815,0.002933367,0.00188165,0.002506396,0.000850953,23.365,7,240421-Box 6_pair12.csv
57,60,449.9289377,26.5753291,0.000704387,0.002909185,0.001886864,0.002855129,0.00130691,29.015,7,240421-Box 6_pair12.csv
58,108,470.57559,25.88204109,0.000710327,0.002937298,0.001902445,0.003130239,0.001424547,35.25,7,240421-Box 6_pair12.csv
59,179,470.839778,25.63498332,0.000717142,0.002929704,0.001904517,0.003164124,0.001419833,36.76,7,240421-Box 6_pair12.csv
60,350,508.2332395,25.34881426,0.000713543,0.002863726,0.002047267,0.003747921,0.00120137,42.835,7,240421-Box 6_pair12.csv
61,664,547.8054456,25.19958815,0.000710696,0.003175158,0.002024525,0.004042443,0.001167755,44.66,7,240421-Box 6_pair12.csv
62,34,379.0293552,26.7657919,0.000297767,0.003226681,0.001671675,0.002331784,0.00114459,28.81,8,010421-box1_2.csv
63,59,445.2374841,25.833274,0.000303564,0.003851842,0.001894954,0.002193136,0.001983217,39.015,8,010421-box1_2.csv
64,81,434.3958026,25.49999671,0.000292772,0.003452572,0.001862673,0.002318993,0.002061561,44.49,8,010421-box1_2.csv
65,240,405.3690643,24.8162176,0.000266458,0.00290315,0.002178615,0.002517114,0.002084556,48.9,8,010421-box1_2.csv
66,336,426.7347421,24.72769438,0.000265834,0.002916723,0.002180136,0.002771724,0.002075832,47.8,8,010421-box1_2.csv
67,672,558.3739691,24.33163041,0.000261579,0.00325231,0.002362271,0.003313651,0.001956317,54.05,8,010421-box1_2.csv
68,22,225.3677863,29.05144006,0.002590407,0.024769832,0.010066686,0.006869752,0.001621952,12.54,9,260121-box2_pair 4.csv
69,26,231.9396695,28.08443846,0.002411631,0.024509522,0.011834731,0.011440891,0.002616296,17.555,9,260121-box2_pair 4.csv
70,42,280.2221315,26.5640054,0.00199297,0.02110563,0.012945171,0.019810246,0.004471476,23.99,9,260121-box2_pair 4.csv
71,50,288.3048266,26.18501793,0.001882627,0.020975408,0.012257793,0.022081438,0.006212808,25.79,9,260121-box2_pair 4.csv
72,65,296.1282446,25.70722111,0.001744933,0.021812282,0.011735546,0.021928865,0.007171905,30.97,9,260121-box2_pair 4.csv
73,124,330.308065,25.13517542,0.00170935,0.022566544,0.015596407,0.022615485,0.007878963,33.885,9,260121-box2_pair 4.csv
74,168,333.4915249,25.0309832,0.001589904,0.02368464,0.015715116,0.022990162,0.008438838,37.585,9,260121-box2_pair 4.csv
75,240,336.2863443,24.83053341,0.001581929,0.024401999,0.015605882,0.021855959,0.008545708,38.19,9,260121-box2_pair 4.csv
76,336,334.9472694,24.76183486,0.001592028,0.024458985,0.016002337,0.02053923,0.008452636,39.275,9,260121-box2_pair 4.csv
77,504,355.418458,24.60640408,0.001580639,0.025448966,0.016588515,0.019496052,0.00895996,41.835,9,260121-box2_pair 4.csv
78,22,230.6057223,29.071173,0.000620539,0.002487539,0.001363811,0.000797054,0.000309064,11.615,10,240421-Box 4_pair 7.csv
79,36,311.6749732,27.12631614,0.000657132,0.002014835,0.001115655,0.002127097,0.000806155,23.365,10,240421-Box 4_pair 7.csv
80,60,373.0740206,26.22099574,0.000660543,0.001675401,0.001181785,0.00284474,0.000994915,29.015,10,240421-Box 4_pair 7.csv
81,108,400.763162,25.58249599,0.000655135,0.002143587,0.001125616,0.00287578,0.001123362,35.25,10,240421-Box 4_pair 7.csv
82,179,417.4941635,25.32449777,0.000664154,0.002297604,0.001230998,0.002976531,0.001187712,36.76,10,240421-Box 4_pair 7.csv
83,350,462.574331,25.11147272,0.000682757,0.002170841,0.001326232,0.003250588,0.001150534,42.835,10,240421-Box 4_pair 7.csv
84,24,215.329973,29.23745158,0.000204776,0.001864404,0.001420276,0.000603069,0.000324879,15.045,11,070221-box1_pai1 A.csv
85,30,251.04408,28.1081155,0.000253421,0.001997948,0.001655263,0.001294426,0.00037086,19.89,11,070221-box1_pai1 A.csv
86,42,341.7336184,27.20862582,0.000277252,0.002639562,0.001876416,0.002544311,0.000541236,23.93,11,070221-box1_pai1 A.csv
87,50,379.2834114,26.81297898,0.000292906,0.002639563,0.002015849,0.002957096,0.000677139,25.755,11,070221-box1_pai1 A.csv
88,66,337.9559616,28.77332389,0.00038561,0.003918401,0.001861475,0.001468512,0.000648043,30.09,11,070221-box1_pai1 A.csv
89,120,449.6910422,25.7164874,0.000249873,0.003232115,0.002642464,0.003289906,0.000877444,33.965,11,070221-box1_pai1 A.csv
90,168,421.8268005,25.47283937,0.000272434,0.002999114,0.002316504,0.002877497,0.000786947,36.31333333,11,070221-box1_pai1 A.csv
91,240,437.9851619,25.38410297,0.000271407,0.002770193,0.002301861,0.0032092,0.000997296,38.995,11,070221-box1_pai1 A.csv
92,336,458.0596162,25.28711408,0.000244345,0.002879664,0.002241719,0.003615774,0.001138826,41.045,11,070221-box1_pai1 A.csv
93,552,455.5784344,25.19940848,0.000243559,0.002845865,0.002429625,0.003882924,0.00137983,39.795,11,070221-box1_pai1 A.csv
94,22,261.9419672,29.26372838,0.000581972,0.002242379,0.001612905,0.000937829,0.000257565,11.615,12,240421-Box 6_pair11.csv
95,36,398.2687862,27.11403715,0.000690874,0.003164122,0.001950456,0.002388513,0.000928386,23.365,12,240421-Box 6_pair11.csv
96,60,471.4017829,26.09645319,0.000753464,0.003232898,0.001810068,0.003385914,0.001397869,29.015,12,240421-Box 6_pair11.csv
97,108,484.7540987,25.37857625,0.000768294,0.003102039,0.001465467,0.00365628,0.001305745,35.25,12,240421-Box 6_pair11.csv
98,179,485.712322,25.14757153,0.00080327,0.003278505,0.001357618,0.003670847,0.001167514,36.76,12,240421-Box 6_pair11.csv
99,350,497.9617665,24.92310146,0.00083383,0.003328641,0.001511474,0.003999586,0.001021644,42.835,12,240421-Box 6_pair11.csv
100,664,511.94691,24.79547111,0.000852703,0.003334454,0.001832574,0.003910782,0.001209268,44.66,12,240421-Box 6_pair11.csv
101,17,574.3608388,31.55664994,0.000484382,0.00393162,0.003669995,0.001879543,0.000376328,14.47,13,210321-box1_1.csv
102,22,574.1421511,29.88701407,0.000533479,0.004433669,0.002620411,0.002706073,0.000674829,18.155,13,210321-box1_1.csv
103,26,553.9197179,29.15237043,0.000497675,0.004085329,0.00217268,0.002997478,0.000823655,20.31,13,210321-box1_1.csv
104,40,622.1891267,28.02775906,0.000499675,0.004376595,0.001982258,0.00378939,0.000983932,25.4,13,210321-box1_1.csv
105,66,740.1283138,27.078544,0.000518677,0.004649311,0.002177271,0.00501669,0.001153779,30.415,13,210321-box1_1.csv
106,120,846.3532624,26.45675417,0.000513062,0.005041592,0.002241062,0.005859858,0.001265815,34.585,13,210321-box1_1.csv
107,168,925.3769547,26.1886192,0.000527184,0.005056487,0.00216143,0.00659998,0.001297943,35.945,13,210321-box1_1.csv
108,255,909.7670519,25.95725026,0.000539566,0.004311744,0.002257042,0.007125488,0.001546408,37.575,13,210321-box1_1.csv
109,336,931.060938,25.84366092,0.000539168,0.004417226,0.002281182,0.00738029,0.00156904,38.775,13,210321-box1_1.csv
110,504,1103.846283,25.65918205,0.000542951,0.004696109,0.002281542,0.008714604,0.002404827,41.01,13,210321-box1_1.csv
111,17,260.7627436,29.02891401,0.000455526,0.002250867,0.00118181,0.000922932,0.00016877,13.96,14,070321-box4_7.csv
112,21,323.7622459,27.9250014,0.000410776,0.002448991,0.001476449,0.001316555,0.000311472,17.95,14,070321-box4_7.csv
113,28,400.5271748,26.90220605,0.000392835,0.002455204,0.002019604,0.001814481,0.000674669,22.595,14,070321-box4_7.csv
114,40,469.2273751,26.13331003,0.000430229,0.002423588,0.002269996,0.002816481,0.000787978,27.90333333,14,070321-box4_7.csv
115,51,507.9633034,25.81506436,0.000434516,0.002373132,0.002336019,0.00352478,0.00091748,29.435,14,070321-box4_7.csv
116,65,527.304286,25.47591477,0.000439344,0.002295741,0.002422998,0.003940303,0.000994507,32.56,14,070321-box4_7.csv
117,120,529.9455367,24.95921919,0.000439324,0.002459545,0.002554262,0.003665163,0.000959935,35.985,14,070321-box4_7.csv
118,168,510.6357149,24.80481003,0.000437823,0.00247897,0.002623354,0.003227531,0.001012937,37.49666667,14,070321-box4_7.csv
119,258,517.1713049,24.62482853,0.000441275,0.002554624,0.002711161,0.003033963,0.001389329,40.09,14,070321-box4_7.csv
120,336,515.9599012,24.55285215,0.000448629,0.002582401,0.002808449,0.002947252,0.00149752,41.90333333,14,070321-box4_7.csv
121,504,566.3249444,24.43222224,0.000459477,0.002993625,0.002918239,0.003350003,0.001754903,45.825,14,070321-box4_7.csv
122,17,261.6139853,28.35900251,0.000363477,0.002100282,0.001603183,0.00079933,0.000212395,13.96,15,070321-box4_8.csv
123,21,336.8692494,27.37490222,0.00038363,0.002366481,0.002043993,0.001466686,0.000341059,17.95,15,070321-box4_8.csv
124,28,430.4582706,26.44552618,0.000375329,0.00257389,0.002484064,0.001907478,0.000612124,22.595,15,070321-box4_8.csv
125,40,490.5899532,25.71657818,0.000334978,0.002934942,0.002683142,0.002018794,0.000968869,27.90333333,15,070321-box4_8.csv
126,51,532.7874492,25.39197135,0.000335843,0.003102132,0.003051196,0.00223177,0.001186297,29.435,15,070321-box4_8.csv
127,65,524.1055542,25.07832055,0.00031649,0.002994573,0.003104223,0.001889747,0.001353995,32.56,15,070321-box4_8.csv
128,120,534.3290769,24.60983788,0.000332496,0.003319586,0.002757171,0.002414033,0.001156464,35.985,15,070321-box4_8.csv
129,168,535.4291532,24.44535789,0.000328795,0.003251457,0.002834809,0.002833068,0.001021998,37.49666667,15,070321-box4_8.csv
130,258,538.286666,24.29799214,0.000321277,0.003481803,0.002572209,0.002946462,0.001133757,40.09,15,070321-box4_8.csv
131,336,522.2869537,24.23037366,0.000341125,0.003484415,0.002447219,0.002805696,0.001024802,41.90333333,15,070321-box4_8.csv
132,504,550.266888,24.13297348,0.000346652,0.003479579,0.00291988,0.003465195,0.001510104,45.825,15,070321-box4_8.csv
133,22,285.4553442,29.34462426,0.000744885,0.003062566,0.00148545,0.000887006,0.000254818,11.615,16,240421-Box 5_pair10.csv
134,36,369.0488957,27.30137731,0.000766765,0.002980136,0.001814725,0.001595506,0.000763685,23.365,16,240421-Box 5_pair10.csv
135,60,434.05385,26.32909207,0.00076846,0.003411115,0.001822223,0.00221892,0.001105648,29.015,16,240421-Box 5_pair10.csv
136,108,447.1906492,25.57005,0.000587489,0.003092571,0.001574835,0.002292785,0.001786545,35.25,16,240421-Box 5_pair10.csv
137,179,498.915827,25.40798266,0.000767647,0.003718114,0.001616848,0.002766283,0.001454538,36.76,16,240421-Box 5_pair10.csv
138,350,511.9693931,25.1871465,0.000732976,0.003787032,0.001752736,0.003195444,0.00128428,42.835,16,240421-Box 5_pair10.csv
139,664,514.7940479,25.07573316,0.000774291,0.003665936,0.001832435,0.003251597,0.001345644,44.66,16,240421-Box 5_pair10.csv
140,17,222.6111916,28.15900417,0.000686595,0.001817603,0.000989971,0.000620326,0.000173858,13.96,17,070321-box5 steel_10.csv
141,21,258.6081393,26.99096541,0.000689665,0.002206512,0.00115731,0.001176997,0.000251717,17.95,17,070321-box5 steel_10.csv
142,28,304.4578681,26.00027571,0.00073372,0.002656188,0.001224902,0.001701765,0.000287682,22.595,17,070321-box5 steel_10.csv
143,40,311.7401623,25.26247814,0.000742385,0.002590894,0.001222882,0.001819585,0.000415294,27.90333333,17,070321-box5 steel_10.csv
144,51,318.4560628,24.90997264,0.000750104,0.002442012,0.001152528,0.002049613,0.000455504,29.435,17,070321-box5 steel_10.csv
145,65,329.0414704,24.5530519,0.000756527,0.002265492,0.001306062,0.002059652,0.000443313,32.56,17,070321-box5 steel_10.csv
146,120,341.0725318,24.1612447,0.000737229,0.002274457,0.001307265,0.001897678,0.000415144,35.985,17,070321-box5 steel_10.csv
147,168,361.3333824,24.05891991,0.000743225,0.002112452,0.001299745,0.002224322,0.000468732,37.49666667,17,070321-box5 steel_10.csv
148,258,398.2248988,23.95572336,0.000772847,0.002086608,0.001222882,0.002731135,0.000563345,40.09,17,070321-box5 steel_10.csv
149,504,428.0462239,23.7204746,0.000832826,0.001880076,0.001267634,0.002943463,0.000642729,45.825,17,070321-box5 steel_10.csv
150,34,408.389471,28.17126293,0.000590381,0.00291335,0.002225497,0.001941671,0.000535654,22.79,18,020521-box 2 no adas_pair 3.csv
151,46,445.3644473,27.33710362,0.000628561,0.002736507,0.002251454,0.002644476,0.00079199,26.64,18,020521-box 2 no adas_pair 3.csv
152,84,485.0644343,26.21933152,0.000623962,0.002563916,0.001939524,0.00310036,0.001123439,34.63,18,020521-box 2 no adas_pair 3.csv
153,161,465.1132038,25.6293848,0.000632021,0.002319305,0.001730648,0.003163706,0.001195763,40.31,18,020521-box 2 no adas_pair 3.csv
154,350,453.5951801,25.20645105,0.000692421,0.002247203,0.001751593,0.003175957,0.001125405,42.7,18,020521-box 2 no adas_pair 3.csv
155,693,496.402973,25.04776879,0.000682529,0.002713778,0.002128244,0.003262664,0.001344636,47.14,18,020521-box 2 no adas_pair 3.csv
156,21.5,286.6918813,26.6351329,0.000553708,0.002366311,0.001541412,0.000939461,0.000557076,11.78,19,020521-box 4 fulia_pair7.csv
157,34,396.9566663,25.2295303,0.000574409,0.002999776,0.001582343,0.002104953,0.000983508,22.79,19,020521-box 4 fulia_pair7.csv
158,46,409.6369666,24.83118721,0.000614069,0.002664063,0.001596074,0.002452657,0.001189735,26.64,19,020521-box 4 fulia_pair7.csv
159,84,475.7042656,24.22706578,0.000630934,0.002679534,0.001859533,0.003112392,0.001307011,34.63,19,020521-box 4 fulia_pair7.csv
160,161,480.4058306,23.89084095,0.000627804,0.002444578,0.001735788,0.003298702,0.001257988,40.31,19,020521-box 4 fulia_pair7.csv
161,350,495.2477668,23.55901673,0.000590408,0.002284861,0.001748088,0.003387148,0.001474628,42.7,19,020521-box 4 fulia_pair7.csv
162,693,541.3462416,23.46472628,0.000598236,0.002586316,0.002022451,0.003519621,0.00198328,47.14,19,020521-box 4 fulia_pair7.csv
163,17,247.2367386,29.59871896,0.000392222,0.002352836,0.001300027,0.000601485,0.000196118,13.96,20,070321-box3_6.csv
164,21,380.2157,28.08616762,0.000376732,0.003424008,0.002351628,0.001062346,0.000520451,17.95,20,070321-box3_6.csv
165,28,521.5715384,26.96105883,0.000372196,0.004044748,0.003007284,0.001813192,0.000979872,22.595,20,070321-box3_6.csv
166,40,605.1538175,26.13428694,0.000366282,0.004028731,0.003355657,0.002230734,0.00121121,27.90333333,20,070321-box3_6.csv
167,51,623.123722,25.78395325,0.00036081,0.003761538,0.00349884,0.002576558,0.001430237,29.435,20,070321-box3_6.csv
168,65,628.7097438,25.45060796,0.000347838,0.003018487,0.003740551,0.002948672,0.001578958,32.56,20,070321-box3_6.csv
169,120,665.539273,24.92000743,0.000341449,0.003206728,0.003529936,0.003063189,0.002158156,35.985,20,070321-box3_6.csv
170,168,681.2138572,24.75715103,0.000329171,0.003424666,0.003397362,0.003086045,0.002429527,37.49666667,20,070321-box3_6.csv
171,258,697.7269626,24.5516407,0.000366333,0.003311436,0.003301895,0.003291033,0.002563998,40.09,20,070321-box3_6.csv
172,336,703.9629161,24.5374249,0.000356826,0.003235278,0.003228478,0.00336699,0.002739266,41.90333333,20,070321-box3_6.csv
173,504,738.040551,24.38718119,0.000383454,0.003611215,0.003043611,0.003723417,0.003005618,45.825,20,070321-box3_6.csv
174,17,512.6046368,34.93024294,0.000537706,0.004286988,0.004204015,0.002171723,0.000393814,14.47,21,210321-box1_2.csv
175,22,664.294805,32.8792758,0.000549369,0.00482768,0.004715585,0.003942704,0.001162168,18.155,21,210321-box1_2.csv
176,26,723.8204316,31.97551014,0.000501488,0.00455898,0.005021686,0.00434627,0.001521864,20.31,21,210321-box1_2.csv
177,40,792.1323996,30.68767769,0.000550205,0.004557252,0.005563429,0.004715778,0.002189117,25.4,21,210321-box1_2.csv
178,66,786.7796883,29.62367998,0.000505483,0.004714859,0.00544578,0.004695856,0.002990399,30.415,21,210321-box1_2.csv
179,120,788.668376,28.9376674,0.000459793,0.004582964,0.005162142,0.004543216,0.003580306,34.585,21,210321-box1_2.csv
180,168,789.2441246,28.70755415,0.00043501,0.00446106,0.004935296,0.004533519,0.003844066,35.945,21,210321-box1_2.csv
181,255,793.6389063,28.54284038,0.000444929,0.004142401,0.004643853,0.004779272,0.003834246,37.575,21,210321-box1_2.csv
182,336,601.4848991,28.88460623,0.001434467,0.003347886,0.004656927,0.00227686,0.002378176,38.775,21,210321-box1_2.csv
183,22,576.7756637,33.79390951,0.000577125,0.005944082,0.002985992,0.001444492,0.000666729,18.155,22,210321-box2_3.csv
184,26,566.7088038,32.86249973,0.000546311,0.005844505,0.002956766,0.001421769,0.001061347,20.31,22,210321-box2_3.csv
185,40,562.2933725,31.54318902,0.00047467,0.005408977,0.002956809,0.002184124,0.001716635,25.4,22,210321-box2_3.csv
186,66,653.2486177,30.40585714,0.000422397,0.005376773,0.003312613,0.003695246,0.002318292,30.415,22,210321-box2_3.csv
187,120,518.6057005,30.50431091,0.001948933,0.004060965,0.003363348,0.001107408,0.002505677,34.585,22,210321-box2_3.csv
188,168,500.3446794,30.15224275,0.00238531,0.004019387,0.002964023,0.001170959,0.002593263,35.945,22,210321-box2_3.csv
189,255,495.5596634,29.9567934,0.001984215,0.004019975,0.003207812,0.001197392,0.002650749,37.575,22,210321-box2_3.csv
190,336,526.8888549,29.86950613,0.001709771,0.004084751,0.003580026,0.001315829,0.002818046,38.775,22,210321-box2_3.csv
191,22,205.7375061,29.16311523,0.000498278,0.001818398,0.00098436,0.000984469,0.000397834,11.615,23,240421-Box 5_pair9.csv
192,36,346.8949803,27.16381393,0.000566973,0.002560485,0.00125795,0.00172316,0.00103663,23.365,23,240421-Box 5_pair9.csv
193,60,404.0923971,26.22001883,0.000601666,0.002963192,0.00167274,0.002060194,0.001393815,29.015,23,240421-Box 5_pair9.csv
194,108,446.8041767,25.50348945,0.000590719,0.003107872,0.001577851,0.002303376,0.001737904,35.25,23,240421-Box 5_pair9.csv
195,179,447.2351489,25.30882317,0.000610049,0.003118933,0.001677667,0.002477604,0.00178316,36.76,23,240421-Box 5_pair9.csv
196,350,442.5486303,25.10249455,0.000666475,0.003001268,0.001847442,0.002355776,0.001964391,42.835,23,240421-Box 5_pair9.csv
197,664,443.3048335,24.97538871,0.000688657,0.002937957,0.001946973,0.002510323,0.002081712,44.66,23,240421-Box 5_pair9.csv
198,21.5,353.5669238,31.81181974,0.00037662,0.001931788,0.002914035,0.000808388,0.000204664,11.78,24,020521-box 1 no adas_pair 1.csv
199,34,447.5394343,28.76444659,0.000476954,0.002635708,0.002033327,0.003090729,0.000946822,22.79,24,020521-box 1 no adas_pair 1.csv
200,46,527.270542,27.87447627,0.000501214,0.002794525,0.001732357,0.004037855,0.001150401,26.64,24,020521-box 1 no adas_pair 1.csv
201,84,614.7780927,26.7621111,0.000556244,0.002928798,0.001679718,0.005052222,0.00120719,34.63,24,020521-box 1 no adas_pair 1.csv
202,161,652.6497315,26.12087141,0.000555794,0.002922578,0.001465084,0.005344701,0.001348837,40.31,24,020521-box 1 no adas_pair 1.csv
203,350,679.8961884,25.72054934,0.000553742,0.002997522,0.001391146,0.00537274,0.001413808,42.7,24,020521-box 1 no adas_pair 1.csv
204,693,637.9538713,25.49084499,0.000572263,0.002822736,0.001320584,0.004918275,0.001744872,47.14,24,020521-box 1 no adas_pair 1.csv
205,22,327.2310313,28.42869068,0.000787526,0.003531603,0.001431583,0.001092704,0.000239318,11.615,25,240421-Box 4_pair 8.csv
206,36,379.1182106,26.42060755,0.000849631,0.002852107,0.001721121,0.001951823,0.000705773,23.365,25,240421-Box 4_pair 8.csv
207,60,444.7662982,25.43033909,0.000879222,0.002864822,0.001702377,0.002854895,0.00132474,29.015,25,240421-Box 4_pair 8.csv
208,108,444.8006413,24.79075663,0.000861874,0.00310361,0.001882312,0.002749205,0.001212856,35.25,25,240421-Box 4_pair 8.csv
